Time[s],Packet ID,Address,Read/Write,Data
3.2610348000,122,0x05,R,0x46 0x32 0x01 0x0B 0xB8 0x22 0x9F 0xFD 0x02 0xA0 0x00 0x00 0x34 0x40 0x0D 0x49 0xA8 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x0D 0x49 0xA8 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x37 0x80 0x00 0x00
3.2747898000,123,0x04,W,0x82
3.3286948000,124,0x04,W,0xA7 0x03 0x00 0x00 0x00 0x37 0x08 0x02
3.3316788000,125,0x05,R,0x46 0x00 0x00
3.3319198000,126,0x04,W,0x82
3.3786772000,127,0x04,W,0xA7 0x01 0x00 0x06 0x00 0x38
3.3821394000,128,0x05,R,0x46 0x06 0x00 0x00 0x00 0x0E 0x03 0x7C 0xEF
3.3826480000,129,0x04,W,0x82
3.4286996000,130,0x04,W,0xA7 0x03 0x00 0x00 0x00 0x37 0x09 0x02
3.4325998000,131,0x05,R,0x46 0x00 0x00
3.4328408000,132,0x04,W,0x82
3.4786772000,133,0x04,W,0xA7 0x01 0x00 0xAE 0x00 0x38
3.4830606000,134,0x05,R,0x46 0xAE 0x00 0x99 0x99 0x99 0x99 0x99 0x99 0x99 0x99 0x99 0x99 0x99 0x99 0x99 0x99 0x99 0x99 0x99 0x99 0x99 0x99 0x99 0x99 0x99 0x99 0x99 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x69 0x7B 0x76 0x68 0x00 0x00
3.4910216000,135,0x04,W,0x82
3.5287046000,136,0x04,W,0xA7 0x03 0x00 0x00 0x00 0x37 0x0B 0x02
3.5335220000,137,0x05,R,0x46 0x00 0x00
3.5337630000,138,0x04,W,0x82
3.5786812000,139,0x04,W,0xA7 0x01 0x00 0x0F 0x00 0x38
